label	patch	sk	fl	no	cp	ig	I2	w0	w1	w2	idle	meanEngaged	shooterShare	I4gap	failed
F shooterRange 4.4	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.4 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	3	0	0		0.790	0.249	0.330	0.210	0	14.07	0.394		skilled 8/8;I8
F shooterRange 4.5	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.5 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	1	0	0		0.847	0.236	0.374	0.237	0	14.62	0.422		skilled 8/8;I2;I8
F shooterRange 4.6	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.6 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	1	0	0		0.842	0.243	0.329	0.270	0	13.76	0.391		skilled 8/8;I2;I8
F shooterRange 4.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.8 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	1	0	0		0.858	0.245	0.340	0.274	0	13.84	0.418		skilled 8/8;I2;I8
F shooterRange 4.9	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.9 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.847	0.258	0.343	0.246	0	13.96	0.403		skilled 8/8;I2
F shooterDamage 0.03	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.03 shooterHp=0.8 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	2	1	0		0.729	0.235	0.278	0.216	0	13.89	0.330		skilled 8/8;I3;I8
F shooterDamage 0.035	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.035 shooterHp=0.8 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	2	0	0		0.767	0.246	0.300	0.221	0	13.96	0.371		skilled 8/8;I8
F shooterDamage 0.045	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.045 shooterHp=0.8 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.868	0.268	0.350	0.249	0	13.53	0.419		skilled 8/8;I2
F shooterHp 0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	2	0	0		0.686	0.238	0.270	0.178	0	12.16	0.378		I8
F shooterHp 0.75	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.75 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	1	0	0		0.835	0.258	0.321	0.256	0	14.21	0.388		I2;I8
F shooterHp 0.85	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.85 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.920	0.259	0.378	0.283	0	15.01	0.411		skilled 8/8;I2
F shooterHp 0.9	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.9 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.929	0.260	0.397	0.272	0	14.91	0.410		skilled 8/8;I2
F meleeMoveSpeed 0.135	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.135 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	1	0	0		0.789	0.247	0.331	0.211	0	13.41	0.432		I8
F meleeMoveSpeed 0.145	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.145 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.815	0.244	0.333	0.238	0	12.82	0.388		skilled 8/8;I2
F meleeMoveSpeed 0.15	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.15 phases=16-22-28|9-7-5|3:2/1:1/1:1	6	1	0	0		0.921	0.261	0.372	0.288	0	14.57	0.386		skilled 8/8;I2;I8
F eliteSpawnTick 1700	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 eliteSpawnTick=1700 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	2	0	0		0.775	0.257	0.343	0.175	0	13.58	0.402		skilled 8/8;I8
F eliteSpawnTick 1900	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 eliteSpawnTick=1900 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	1	0	0		0.962	0.257	0.322	0.383	0	15.03	0.416		skilled 8/8;I2;I8
F eliteSpawnTick 2000	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 eliteSpawnTick=2000 phases=16-22-28|9-7-5|3:2/1:1/1:1	6	0	0	0		1.023	0.257	0.322	0.444	0	15.73	0.417		skilled 8/8;I2
F eliteDamage 0.3	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 eliteDamage=0.3 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	1	0	0		0.807	0.257	0.322	0.227	0	13.93	0.400		skilled 8/8;I2;I8
F eliteDamage 0.5	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 eliteDamage=0.5 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.819	0.257	0.322	0.239	0	13.96	0.396		skilled 8/8;I2
F shooterMoveSpeed 0.05	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	1	0	0		0.751	0.238	0.301	0.213	0	13.34	0.369		I8
F shooterMoveSpeed 0.07	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 shooterMoveSpeed=0.07 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	1	0	0		0.876	0.264	0.349	0.264	0	13.92	0.413		skilled 8/8;I2;I8
F eliteApproachRange 3.5	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 eliteApproachRange=3.5 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	2	0	0		0.804	0.257	0.322	0.224	0	13.93	0.395		skilled 8/8;I2;I8
F eliteApproachRange 4.9	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 eliteApproachRange=4.9 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.815	0.257	0.322	0.236	0	13.94	0.395		skilled 8/8;I2
F eliteTelegraphTicks 44	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 eliteTelegraphTicks=44 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	1	0	0		0.796	0.257	0.322	0.217	0	13.80	0.394		skilled 8/8;I8
F eliteTelegraphTicks 64	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 eliteTelegraphTicks=64 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	1	0	0		0.811	0.257	0.322	0.232	0	13.94	0.397		skilled 8/8;I2;I8
F absoluteEnemyCap 50	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 absoluteEnemyCap=50 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.812	0.257	0.322	0.233	0	13.94	0.398		skilled 8/8;I2
F absoluteEnemyCap 80	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 absoluteEnemyCap=80 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.812	0.257	0.322	0.233	0	13.94	0.398		skilled 8/8;I2
F backlogSize 8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 backlogSize=8 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.812	0.257	0.322	0.233	0	13.94	0.398		skilled 8/8;I2
F backlogSize 18	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 backlogSize=18 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.812	0.257	0.322	0.233	0	13.94	0.398		skilled 8/8;I2
F caps 12-18-24	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=12-18-24|9-7-5|3:2/1:1/1:1	7	0	0	0		0.803	0.257	0.322	0.224	0	13.80	0.401		skilled 8/8;I2
F caps 14-20-26	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=14-20-26|9-7-5|3:2/1:1/1:1	7	0	0	0		0.806	0.257	0.322	0.227	0	13.85	0.400		skilled 8/8;I2
F caps 18-24-30	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=18-24-30|9-7-5|3:2/1:1/1:1	7	0	0	0		0.813	0.257	0.322	0.234	0	13.96	0.396		skilled 8/8;I2
F caps 20-26-32	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=20-26-32|9-7-5|3:2/1:1/1:1	7	0	0	0		0.815	0.257	0.322	0.236	0	13.98	0.396		skilled 8/8;I2
F ints 10-8-6	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|10-8-6|3:2/1:1/1:1	8	2	0	1		0.620	0.215	0.268	0.137	0	11.07	0.419		I8
F ints 8-7-5	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|8-7-5|3:2/1:1/1:1	6	0	0	0		0.990	0.313	0.362	0.315	0	16.33	0.402		skilled 8/8;I2
F ints 9-8-6	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-8-6|3:2/1:1/1:1	8	1	0	0		0.632	0.257	0.234	0.141	0	11.15	0.378		I8
F ints 10-7-5	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|10-7-5|3:2/1:1/1:1	7	2	0	0		0.789	0.215	0.327	0.248	0	13.69	0.410		skilled 8/8;I8
F ints 9-7-6	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-6|3:2/1:1/1:1	7	1	0	0		0.786	0.257	0.322	0.207	0	13.56	0.392		skilled 8/8;I8
F ints 9-6-5	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-6-5|3:2/1:1/1:1	4	0	0	0		1.028	0.257	0.465	0.306	0	17.75	0.429		skilled 8/8;I2;I2 windows
F mix 5:1/3:1/2:1	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|5:1/3:1/2:1	7	2	0	0		0.945	0.274	0.365	0.305	0	12.70	0.220		skilled 8/8;I2;I8
F mix 4:1/2:1/1:1	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|4:1/2:1/1:1	7	1	1	0		0.860	0.276	0.355	0.229	0	12.29	0.268		skilled 8/8;I2;I3;I8
F mix 3:1/2:1/1:1	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|3:1/2:1/1:1	6	1	0	0		0.903	0.251	0.387	0.265	0	13.45	0.297		skilled 8/8;I2;I8
F mix 2:1/2:1/1:1	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|2:1/2:1/1:1	6	2	0	0		0.908	0.259	0.350	0.299	0	13.63	0.311		skilled 8/8;I2;I8
F mix 2:1/1:1/1:1	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|2:1/1:1/1:1	7	1	0	0		0.858	0.259	0.331	0.268	0	14.34	0.365		skilled 8/8;I2;I8
F mix 3:2/1:1/1:1	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.812	0.257	0.322	0.233	0	13.94	0.398		skilled 8/8;I2
F mix 1:1/1:1/1:1	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|1:1/1:1/1:1	8	1	0	0		0.807	0.233	0.325	0.249	0	14.07	0.428		I2;I8
F mix 3:2/1:1/1:2	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|3:2/1:1/1:2	7	1	0	0		0.802	0.257	0.322	0.223	0	13.96	0.425		skilled 8/8;I2;I8
F mix 2:1/3:2/1:1	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 phases=16-22-28|9-7-5|2:1/3:2/1:1	6	2	0	0		0.897	0.259	0.360	0.278	0	13.78	0.341		skilled 8/8;I2;I8
G mi15 eh17 ms0.135 ss0.05 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=17 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.135 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	3	1	1		0.674	0.221	0.263	0.190	0	13.46	0.377		I3;I8
G mi15 eh17 ms0.135 ss0.05 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=17 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.135 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	2	0	0		0.681	0.218	0.296	0.168	0	13.91	0.408		I8
G mi15 eh17 ms0.135 ss0.06 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=17 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.135 shooterMoveSpeed=0.06 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	2	1	0		0.689	0.228	0.274	0.187	0	11.90	0.400		I3;I8
G mi15 eh17 ms0.135 ss0.06 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=17 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.135 shooterMoveSpeed=0.06 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	2	0	0		0.756	0.247	0.331	0.178	0	13.17	0.434		I8
G mi15 eh17 ms0.14 ss0.05 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=17 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.14 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	4	0	0		0.701	0.228	0.265	0.208	0	12.93	0.365		I8
G mi15 eh17 ms0.14 ss0.05 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=17 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.14 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	1	0	0		0.726	0.238	0.301	0.188	0	13.14	0.369		I8
G mi15 eh17 ms0.14 ss0.06 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=17 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.14 shooterMoveSpeed=0.06 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	2	1	1		0.656	0.238	0.270	0.147	0	11.95	0.380		I3;I8
G mi15 eh17 ms0.14 ss0.06 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=17 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.14 shooterMoveSpeed=0.06 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.784	0.257	0.322	0.205	0	13.73	0.398		skilled 8/8
G mi15 eh18 ms0.135 ss0.05 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=18 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.135 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	3	1	1		0.691	0.221	0.263	0.207	0	13.61	0.375		I3;I8
G mi15 eh18 ms0.135 ss0.05 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=18 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.135 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	2	0	0		0.696	0.218	0.296	0.182	0	14.04	0.408		I8
G mi15 eh18 ms0.135 ss0.06 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=18 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.135 shooterMoveSpeed=0.06 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	2	0	0		0.701	0.228	0.274	0.200	0	12.00	0.400		I8
G mi15 eh18 ms0.135 ss0.06 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=18 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.135 shooterMoveSpeed=0.06 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	1	0	0		0.772	0.247	0.331	0.193	0	13.28	0.433		I8
G mi15 eh18 ms0.14 ss0.05 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=18 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.14 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	4	0	0		0.715	0.228	0.265	0.222	0	13.04	0.366		I8
G mi15 eh18 ms0.14 ss0.05 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=18 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.14 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	1	0	0		0.739	0.238	0.301	0.201	0	13.25	0.368		I8
G mi15 eh18 ms0.14 ss0.06 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=18 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.14 shooterMoveSpeed=0.06 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	2	0	1		0.672	0.238	0.270	0.163	0	12.06	0.380		I8
G mi15 eh18 ms0.14 ss0.06 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=18 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.14 shooterMoveSpeed=0.06 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	0	0	0		0.798	0.257	0.322	0.218	0	13.83	0.398		skilled 8/8
G mi15 eh19 ms0.135 ss0.05 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.135 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	7	3	1	1		0.714	0.221	0.263	0.230	0	13.78	0.373		skilled 8/8;I3;I8
G mi15 eh19 ms0.135 ss0.05 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.135 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	2	0	0		0.721	0.218	0.296	0.207	0	14.17	0.403		I8
G mi15 eh19 ms0.135 ss0.06 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.135 shooterMoveSpeed=0.06 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	2	0	0		0.714	0.228	0.274	0.213	0	12.10	0.400		I8
G mi15 eh19 ms0.135 ss0.06 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.135 shooterMoveSpeed=0.06 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	1	0	0		0.789	0.247	0.331	0.211	0	13.41	0.432		I8
G mi15 eh19 ms0.14 ss0.05 sh0.7	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.7 meleeMoveSpeed=0.14 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	4	0	0		0.735	0.228	0.265	0.242	0	13.18	0.366		I8
G mi15 eh19 ms0.14 ss0.05 sh0.8	engageRadius=10 spawnRadius=15 leashRadius=11 eliteHp=19 meleeHp=1 meleeDamage=0.045 meleeAttackInterval=15 shooterRange=4.7 shooterDamage=0.04 shooterHp=0.8 meleeMoveSpeed=0.14 shooterMoveSpeed=0.05 phases=16-22-28|9-7-5|3:2/1:1/1:1	8	1	0	0		0.751	0.238	0.301	0.213	0	13.34	0.369		I8
