label	patch	stage	sk	fl	no	cp	ig	I2	w0	w1	w2	idle	meanEngaged	meanEnd	meanStanding	shooterShare	I4gap	campDone	campCleared	failed
S2 elite hp22.5 ed0.25 eb1.8	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 eliteHp=22.5 eliteDamage=0.25 eliteBlastRadius=1.8 eliteTelegraphTicks=54 eliteCooldownTicks=56 phases=15-21-27|8-6-4|1:1/1:2/1:3}	2	7	0	0	0		0.813	0.261	0.323	0.229	0	16.13	2048	10.50	0.487				
S2 elite hp23.0 ed0.25 eb1.8	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 eliteHp=23 eliteDamage=0.25 eliteBlastRadius=1.8 eliteTelegraphTicks=54 eliteCooldownTicks=56 phases=15-21-27|8-6-4|1:1/1:2/1:3} s3{absoluteEnemyCap=62 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=56 arenaHeight=32 leashRadius=10 shooterRange=4.4 meleeHp=0.35 shooterHp=0.3 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=23 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=68 eliteCooldownTicks=70 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=16-22-28|10-9-8|1:1/1:2/1:3} s4{absoluteEnemyCap=63 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 shooterRange=4.5 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=23.5 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=66 eliteCooldownTicks=68 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|1:3/1:4/1:5} s5{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=64 eliteCooldownTicks=66 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|3:1/2:1/3:2} s6{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24.5 eliteDamage=0.14 eliteBlastRadius=2.5 eliteTelegraphTicks=40 eliteCooldownTicks=42 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|10-9-8|3:1/2:1/3:2} s7{absoluteEnemyCap=65 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.4 shooterHp=0.35 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=25 eliteDamage=0.14 eliteBlastRadius=2.6 eliteTelegraphTicks=38 eliteCooldownTicks=40 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|7-5-3|3:1/2:1/3:2}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 3's eliteHp is not above stage 2's
S2 elite hp22.5 ed0.25 eb2.4	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 eliteHp=22.5 eliteDamage=0.25 eliteBlastRadius=2.4 eliteTelegraphTicks=54 eliteCooldownTicks=56 phases=15-21-27|8-6-4|1:1/1:2/1:3}	2	8	0	0	0		0.811	0.261	0.323	0.227	0	16.15	2046	11.00	0.483				
S2 elite hp23.0 ed0.25 eb2.4	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 eliteHp=23 eliteDamage=0.25 eliteBlastRadius=2.4 eliteTelegraphTicks=54 eliteCooldownTicks=56 phases=15-21-27|8-6-4|1:1/1:2/1:3} s3{absoluteEnemyCap=62 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=56 arenaHeight=32 leashRadius=10 shooterRange=4.4 meleeHp=0.35 shooterHp=0.3 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=23 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=68 eliteCooldownTicks=70 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=16-22-28|10-9-8|1:1/1:2/1:3} s4{absoluteEnemyCap=63 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 shooterRange=4.5 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=23.5 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=66 eliteCooldownTicks=68 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|1:3/1:4/1:5} s5{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=64 eliteCooldownTicks=66 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|3:1/2:1/3:2} s6{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24.5 eliteDamage=0.14 eliteBlastRadius=2.5 eliteTelegraphTicks=40 eliteCooldownTicks=42 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|10-9-8|3:1/2:1/3:2} s7{absoluteEnemyCap=65 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.4 shooterHp=0.35 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=25 eliteDamage=0.14 eliteBlastRadius=2.6 eliteTelegraphTicks=38 eliteCooldownTicks=40 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|7-5-3|3:1/2:1/3:2}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 3's eliteHp is not above stage 2's
S2 elite hp22.5 ed0.4 eb1.4	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 eliteHp=22.5 eliteDamage=0.4 eliteBlastRadius=1.4 eliteTelegraphTicks=54 eliteCooldownTicks=56 phases=15-21-27|8-6-4|1:1/1:2/1:3}	2	7	0	0	0		0.796	0.261	0.323	0.212	0	16.10	2034	11.63	0.490				
S2 elite hp23.0 ed0.4 eb1.4	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 eliteHp=23 eliteDamage=0.4 eliteBlastRadius=1.4 eliteTelegraphTicks=54 eliteCooldownTicks=56 phases=15-21-27|8-6-4|1:1/1:2/1:3} s3{absoluteEnemyCap=62 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=56 arenaHeight=32 leashRadius=10 shooterRange=4.4 meleeHp=0.35 shooterHp=0.3 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=23 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=68 eliteCooldownTicks=70 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=16-22-28|10-9-8|1:1/1:2/1:3} s4{absoluteEnemyCap=63 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 shooterRange=4.5 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=23.5 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=66 eliteCooldownTicks=68 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|1:3/1:4/1:5} s5{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=64 eliteCooldownTicks=66 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|3:1/2:1/3:2} s6{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24.5 eliteDamage=0.14 eliteBlastRadius=2.5 eliteTelegraphTicks=40 eliteCooldownTicks=42 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|10-9-8|3:1/2:1/3:2} s7{absoluteEnemyCap=65 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.4 shooterHp=0.35 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=25 eliteDamage=0.14 eliteBlastRadius=2.6 eliteTelegraphTicks=38 eliteCooldownTicks=40 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|7-5-3|3:1/2:1/3:2}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 3's eliteHp is not above stage 2's
S2 elite hp22.5 ed0.4 eb1.8	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 eliteHp=22.5 eliteDamage=0.4 eliteBlastRadius=1.8 eliteTelegraphTicks=54 eliteCooldownTicks=56 phases=15-21-27|8-6-4|1:1/1:2/1:3}	2	7	0	0	0		0.820	0.261	0.323	0.236	0	16.12	2048	10.25	0.482				
S2 elite hp23.0 ed0.4 eb1.8	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 eliteHp=23 eliteDamage=0.4 eliteBlastRadius=1.8 eliteTelegraphTicks=54 eliteCooldownTicks=56 phases=15-21-27|8-6-4|1:1/1:2/1:3} s3{absoluteEnemyCap=62 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=56 arenaHeight=32 leashRadius=10 shooterRange=4.4 meleeHp=0.35 shooterHp=0.3 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=23 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=68 eliteCooldownTicks=70 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=16-22-28|10-9-8|1:1/1:2/1:3} s4{absoluteEnemyCap=63 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 shooterRange=4.5 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=23.5 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=66 eliteCooldownTicks=68 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|1:3/1:4/1:5} s5{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=64 eliteCooldownTicks=66 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|3:1/2:1/3:2} s6{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24.5 eliteDamage=0.14 eliteBlastRadius=2.5 eliteTelegraphTicks=40 eliteCooldownTicks=42 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|10-9-8|3:1/2:1/3:2} s7{absoluteEnemyCap=65 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.4 shooterHp=0.35 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=25 eliteDamage=0.14 eliteBlastRadius=2.6 eliteTelegraphTicks=38 eliteCooldownTicks=40 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|7-5-3|3:1/2:1/3:2}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 3's eliteHp is not above stage 2's
S2 elite hp22.5 ed0.4 eb2.4	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 eliteHp=22.5 eliteDamage=0.4 eliteBlastRadius=2.4 eliteTelegraphTicks=54 eliteCooldownTicks=56 phases=15-21-27|8-6-4|1:1/1:2/1:3}	2	7	0	0	0		0.821	0.261	0.323	0.237	0	16.16	2045	10.63	0.476				
S2 elite hp23.0 ed0.4 eb2.4	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 eliteHp=23 eliteDamage=0.4 eliteBlastRadius=2.4 eliteTelegraphTicks=54 eliteCooldownTicks=56 phases=15-21-27|8-6-4|1:1/1:2/1:3} s3{absoluteEnemyCap=62 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=56 arenaHeight=32 leashRadius=10 shooterRange=4.4 meleeHp=0.35 shooterHp=0.3 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=23 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=68 eliteCooldownTicks=70 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=16-22-28|10-9-8|1:1/1:2/1:3} s4{absoluteEnemyCap=63 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 shooterRange=4.5 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=23.5 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=66 eliteCooldownTicks=68 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|1:3/1:4/1:5} s5{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=64 eliteCooldownTicks=66 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|3:1/2:1/3:2} s6{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24.5 eliteDamage=0.14 eliteBlastRadius=2.5 eliteTelegraphTicks=40 eliteCooldownTicks=42 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|10-9-8|3:1/2:1/3:2} s7{absoluteEnemyCap=65 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.4 shooterHp=0.35 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=25 eliteDamage=0.14 eliteBlastRadius=2.6 eliteTelegraphTicks=38 eliteCooldownTicks=40 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|7-5-3|3:1/2:1/3:2}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 3's eliteHp is not above stage 2's
working table (S2 chosen, 3-7 provisional)	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 phases=15-21-27|8-6-4|1:1/1:2/1:3} s3{absoluteEnemyCap=62 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=56 arenaHeight=32 leashRadius=10 shooterRange=4.4 meleeHp=0.35 shooterHp=0.3 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=68 eliteCooldownTicks=70 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=16-22-28|10-9-8|1:1/1:2/1:3} s4{absoluteEnemyCap=63 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 shooterRange=4.5 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=25 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=66 eliteCooldownTicks=68 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|1:3/1:4/1:5} s5{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=26 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=64 eliteCooldownTicks=66 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|3:1/2:1/3:2} s6{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=27 eliteDamage=0.14 eliteBlastRadius=2.5 eliteTelegraphTicks=40 eliteCooldownTicks=42 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|10-9-8|3:1/2:1/3:2} s7{absoluteEnemyCap=65 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.4 shooterHp=0.35 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=28 eliteDamage=0.14 eliteBlastRadius=2.6 eliteTelegraphTicks=38 eliteCooldownTicks=40 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|7-5-3|3:1/2:1/3:2}	2	7	0	0	0		0.825	0.261	0.323	0.241	0	16.18	2049	10.50	0.477		0	12111315	
working table (S2 chosen, 3-7 provisional)	s2{absoluteEnemyCap=61 backlogSize=8 backlogDrainPerTick=1 phases=15-21-27|8-6-4|1:1/1:2/1:3} s3{absoluteEnemyCap=62 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=56 arenaHeight=32 leashRadius=10 shooterRange=4.4 meleeHp=0.35 shooterHp=0.3 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=24 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=68 eliteCooldownTicks=70 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=16-22-28|10-9-8|1:1/1:2/1:3} s4{absoluteEnemyCap=63 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 shooterRange=4.5 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=25 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=66 eliteCooldownTicks=68 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|1:3/1:4/1:5} s5{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=26 eliteDamage=0.12 eliteBlastRadius=1.6 eliteTelegraphTicks=64 eliteCooldownTicks=66 eliteSpawnTick=1800 eliteMoveSpeed=0.1 eliteApproachRange=4.5 phases=15-21-27|10-9-8|3:1/2:1/3:2} s6{absoluteEnemyCap=64 backlogSize=12 backlogDrainPerTick=2 spawnRadius=14 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.5 shooterHp=0.45 meleeDamage=0.022 shooterDamage=0.016 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=27 eliteDamage=0.14 eliteBlastRadius=2.5 eliteTelegraphTicks=40 eliteCooldownTicks=42 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|10-9-8|3:1/2:1/3:2} s7{absoluteEnemyCap=65 backlogSize=12 backlogDrainPerTick=2 spawnRadius=15 engageRadius=11 arenaWidth=84 arenaHeight=48 leashRadius=8 shooterRange=4.4 meleeHp=0.4 shooterHp=0.35 meleeDamage=0.02 shooterDamage=0.015 meleeAttackInterval=24 shooterAttackInterval=45 meleeMoveSpeed=0.126 shooterMoveSpeed=0.05 eliteHp=28 eliteDamage=0.14 eliteBlastRadius=2.6 eliteTelegraphTicks=38 eliteCooldownTicks=40 eliteSpawnTick=1800 eliteMoveSpeed=0.105 eliteApproachRange=4.6 phases=15-21-27|7-5-3|3:1/2:1/3:2}	3	8	8	8	8		0.043	0.013	0.015	0.014	0	8.43	1996	16.00	0.815		0	12111315	I2;I2 windows;I3;I8;I10
